iter	Accuracy	MultiClass
714	0.9533639961	0.3730549019
715	0.9542197026	0.3727726339
716	0.954005776	0.3725186519
717	0.9535779228	0.3718962876
718	0.9537918494	0.3717592427
719	0.9536848861	0.3712565771
720	0.9538988127	0.3710829517
721	0.9537918494	0.3707342961
722	0.9537918494	0.3702649711
723	0.9537918494	0.3700974299
724	0.954005776	0.3697035588
725	0.954326666	0.3692102058
726	0.954326666	0.3690575451
727	0.9546475559	0.3687559937
728	0.9549684458	0.3684037784
729	0.9553962991	0.3679993618
730	0.9549684458	0.3676405078
731	0.9551823724	0.3672468736
732	0.9549684458	0.3670632749
733	0.9549684458	0.3665358685
734	0.9549684458	0.366268246
735	0.9565728955	0.36606216
736	0.9567868221	0.3656969652
737	0.9566798588	0.3651895821
738	0.9570007487	0.3646383401
739	0.9577494919	0.3640717836
740	0.9575355653	0.3635562153
741	0.9576425286	0.3631179406
742	0.9578564552	0.3627033875
743	0.9583912718	0.3621749506
744	0.958819125	0.3620391322
745	0.959140015	0.3615383842
746	0.958819125	0.361328133
747	0.9586051984	0.3610561995
748	0.9582843085	0.3607665979
749	0.9582843085	0.3604234799
750	0.9582843085	0.3602300636
751	0.9584982351	0.3600463903
752	0.9594609049	0.359734327
753	0.9594609049	0.3593699379
754	0.9596748315	0.358881591
755	0.9603166114	0.3585824366
756	0.9614932078	0.3579804371
757	0.9609583913	0.3575785878
758	0.9609583913	0.3571198041
759	0.9612792812	0.3567681357
760	0.9614932078	0.3562889122
761	0.9620280244	0.3560152787
762	0.9616001711	0.3556385824
763	0.9618140978	0.3553536481
764	0.9613862445	0.3548085021
765	0.9616001711	0.3546895029
766	0.9618140978	0.3543796648
767	0.9626698043	0.3536678622
768	0.9625628409	0.353402405
769	0.9627767676	0.3530039196
770	0.9625628409	0.3527486218
771	0.9620280244	0.3524544367
772	0.9620280244	0.3521211935
773	0.9621349877	0.3518607141
774	0.9621349877	0.3514604725
775	0.9629906942	0.351067457
776	0.9637394374	0.3506709937
777	0.9643812172	0.350455679
778	0.9647021072	0.3500485158
779	0.9643812172	0.349654367
780	0.963953364	0.3492758412
781	0.963953364	0.3488717464
782	0.9638464007	0.3484891496
783	0.9636324741	0.3482640244
784	0.9647021072	0.3480111597
785	0.9644881806	0.3477122225
786	0.9642742539	0.3471171447
787	0.9649160338	0.3468584171
788	0.9649160338	0.3465754769
789	0.9644881806	0.3460973724
790	0.9644881806	0.3455836688
791	0.9648090705	0.3453057289
792	0.9648090705	0.3451164483
793	0.9647021072	0.3447349435
794	0.9651299604	0.3445965689
795	0.9648090705	0.3441859969
796	0.9652369237	0.3440007736
797	0.9651299604	0.3434932218
798	0.9650229971	0.3430668773
799	0.9652369237	0.3428843822
800	0.9655578137	0.3427036328
801	0.9657717403	0.3425814825
802	0.9666274468	0.3423348715
803	0.9666274468	0.3421962813
804	0.9666274468	0.3421128569
805	0.9667344101	0.3418248013
806	0.9668413734	0.3415938831
807	0.9665204835	0.3413198038
808	0.9658787036	0.3410952857
809	0.9649160338	0.3405862316
810	0.9658787036	0.3403198406
811	0.9664135202	0.3400652383
812	0.9667344101	0.3397842381
813	0.9664135202	0.3397016227
814	0.9665204835	0.339076376
815	0.9668413734	0.3387259674
816	0.9672692267	0.3383842483
817	0.9670553	0.33828502
818	0.9672692267	0.3378132687
819	0.9668413734	0.337355855
820	0.9668413734	0.3371259597
821	0.9668413734	0.3369933024
822	0.9668413734	0.3366971141
823	0.9674831533	0.3364442316
824	0.9674831533	0.3360181306
825	0.9674831533	0.3355759377
826	0.9675901166	0.335193926
827	0.9683388598	0.3346523321
828	0.9683388598	0.3343372248
829	0.9686597497	0.33404853
